Version,In QA,In Review,Internal Test,To Do,In Progress,Done
v.1,0,0,0,0,0,1
v1.0,0,0,0,0,0,1
v1.12,0,0,0,2,0,11
v1.13,0,0,0,7,0,59
v1.14,0,0,0,7,0,96
v1.15,0,0,0,12,0,89
v1.16,0,0,0,8,0,58
v1.17,0,0,0,26,0,167
v1.18,0,0,0,31,1,155
v1.19,0,0,0,15,0,76
v1.2,0,0,0,5,0,12
v1.20,0,1,0,15,0,61
v1.21,0,0,0,7,0,46
v1.22,0,2,0,18,0,42
v1.23,0,1,0,19,0,31
v1.24,0,0,0,26,0,25
v1.25,0,0,0,15,0,55
v1.26,0,0,0,10,0,38
v1.27,0,0,0,6,0,32
v1.28,0,0,1,11,1,26
v1.29,0,0,0,3,0,0
v1.30,0,0,0,15,0,7
v1.31,0,0,0,1,0,11
v1.32,1,0,0,5,0,6
v1.33,2,4,3,9,0,10
v1.34,0,1,0,0,0,0
v1.8,0,0,0,0,0,1
v1.9,0,0,0,0,0,1
