Version,In QA,In Review,To Do,In Progress,Done
v.1,0,0,0,0,1
v1.0,0,0,0,0,1
v1.12,0,0,2,0,11
v1.13,0,0,7,0,59
v1.14,0,0,7,0,96
v1.15,1,0,11,0,89
v1.16,1,0,7,0,58
v1.17,1,0,25,0,167
v1.18,0,0,31,0,156
v1.19,0,0,15,0,76
v1.2,0,0,5,0,12
v1.20,0,1,15,0,61
v1.21,0,0,7,0,46
v1.22,0,2,18,0,42
v1.23,0,1,17,0,33
v1.24,0,0,26,0,25
v1.25,0,0,15,0,55
v1.26,0,0,9,1,38
v1.27,0,0,5,0,33
v1.28,1,0,11,1,27
v1.29,1,0,2,0,0
v1.30,0,0,15,0,7
v1.31,0,0,1,0,11
v1.32,0,0,5,0,7
v1.33,2,1,15,0,22
v1.34,0,0,0,0,3
v1.8,0,0,0,0,1
v1.9,0,0,0,0,1
