Versions,IN REVIEW,INTERNAL TEST,In Review,To Do,In Progress,Done,To Do,Done,To Do,Done
1.16,0,0,0,1,0,2,1,1,0,2
1.17,0,0,0,0,0,0,0,0,0,2
1.17.2,0,0,0,0,0,1,0,0,0,0
1.17.5,0,0,0,0,0,0,0,4,0,0
1.18,0,0,0,0,0,5,8,6,0,1
1.19,0,0,0,0,0,1,0,0,0,1
1.2,0,0,0,5,0,8,0,4,0,0
1.20.0,0,0,0,0,0,0,0,0,0,1
1.22,0,0,0,0,0,0,0,1,0,1
1.22.0,0,0,0,0,0,0,1,0,0,0
1.23,0,0,0,1,0,0,0,0,0,0
1.23.4,0,0,0,0,0,1,0,0,0,0
1.24.2,0,0,0,2,0,0,2,1,0,0
1.24.x,0,0,0,0,0,0,0,2,0,0
1.25.0-rc1,0,0,0,0,0,1,0,1,0,0
1.25.3,0,0,0,0,0,1,0,0,0,0
1.25.4,0,0,0,0,0,2,0,0,0,1
1.26.0,0,0,0,0,0,2,1,1,0,0
1.26.1,0,0,0,0,0,5,0,0,0,0
1.27,0,0,0,0,0,2,0,2,0,0
1.27.0,0,0,0,0,0,1,0,0,0,0
1.33.x,0,1,0,0,0,0,2,1,0,0
V1.26.1,0,0,0,0,0,0,0,2,0,0
v.1.33,0,0,0,0,0,0,0,1,0,0
v1.0,0,0,0,0,0,0,0,0,0,1
v1.12,0,0,0,1,0,4,1,3,0,4
v1.13,0,0,0,0,0,29,4,10,3,20
v1.14,0,0,0,0,0,46,6,26,1,24
v1.15,0,0,0,4,0,43,3,24,2,25
v1.16,0,0,0,1,0,22,4,13,0,19
v1.17,0,0,0,5,0,45,16,54,2,62
v1.17.5,0,0,0,0,0,0,2,0,0,0
v1.18,0,0,0,7,0,44,16,30,0,70
v1.19,0,0,0,7,0,21,7,24,1,29
v1.20,0,0,0,8,0,17,6,7,0,35
v1.20.1,0,0,1,0,0,0,1,0,0,1
v1.21,0,0,0,1,0,21,6,20,0,5
v1.22,0,0,2,8,0,6,8,23,1,11
v1.23,0,0,1,8,0,19,8,5,0,8
v1.24,0,0,0,6,0,2,14,15,0,3
v1.24.2,0,0,0,1,0,0,1,2,0,0
v1.25,0,0,0,11,0,11,4,13,0,25
v1.26,0,0,0,6,0,7,2,9,0,12
v1.26.1,0,0,0,0,0,0,0,1,0,0
v1.27,0,0,0,2,0,2,3,3,0,4
v1.27.0,0,0,0,0,0,5,0,13,0,1
v1.28,0,0,0,6,1,16,5,7,0,5
v1.29,0,0,0,1,0,0,1,0,0,1
v1.30,0,0,0,6,0,1,7,2,2,4
v1.31,0,0,0,0,0,5,1,2,0,4
v1.32,0,0,0,2,0,4,2,1,1,3
v1.33,1,0,0,4,0,7,11,13,0,7
v1.34,1,1,0,2,0,8,6,15,2,5
v1.35,1,1,0,2,0,7,1,0,0,0
v1.8,0,0,0,0,0,0,0,0,0,1
v1.9,0,0,0,0,0,0,0,1,0,0
