Version,To Do,In Progress,In Review,In QA,Internal Test,Done
v1.15,8,0,0,0,0,93
v1.16,7,0,0,0,0,59
v1.17,25,0,0,0,0,168
v1.18,30,0,0,0,0,156
v1.19,14,0,0,0,0,77
v1.20,15,0,1,0,0,61
v1.21,7,0,0,0,0,46
v1.22,18,0,2,0,0,43
v1.23,17,0,1,0,0,33
v1.24,26,0,0,0,0,25
v1.25,14,0,0,0,0,56
v1.26,10,0,0,0,0,40
v1.27,6,0,0,0,0,33
v1.28,11,1,0,0,0,29
v1.29,2,0,0,0,0,1
v1.30,13,0,0,0,0,9
v1.31,1,0,0,0,0,12
v1.32,4,0,1,0,0,8
v1.33,17,0,0,0,0,37
v1.34,6,0,0,0,0,36
v1.35,9,1,0,0,0,33
v1.36,8,0,0,1,0,12
v1.37,3,0,1,0,1,1
