Versions,INTERNAL TEST,In QA,In Review,To Do,In Progress,Done,To Do,Done,To Do,In Progress,Done,Won't do,Won't do,To Do,Done,IN QA,IN REVIEW,WON'T DO
1.16,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,0,0,0
1.17,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1.17.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.17.5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1.18,0,0,0,0,0,5,8,5,0,0,1,0,0,0,0,0,0,0
1.19,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1.2,0,0,0,5,0,8,0,4,0,0,0,0,0,0,0,0,0,0
1.20.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.22,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1.22.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.23.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.24.2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0
1.24.x,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1.25.0-rc1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1.25.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.25.4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
1.26.0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0
1.26.1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1.27,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
1.27.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.33.x,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
1.36.0+5040,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sentry,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
V1.26.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
v.1.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
v1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
v1.11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
v1.13,0,0,0,0,0,9,1,2,2,0,3,0,0,0,0,0,0,0
v1.14,0,0,0,0,0,42,5,23,1,0,17,0,0,0,0,0,0,0
v1.15,0,0,0,4,0,43,1,26,1,0,26,0,0,0,0,0,0,0
v1.16,0,0,0,1,0,22,1,16,0,0,19,0,0,0,0,0,0,0
v1.17,0,0,0,5,0,45,5,65,2,0,62,0,0,0,0,0,0,0
v1.17.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
v1.18,0,0,0,7,0,44,8,38,0,0,70,0,0,0,0,0,0,0
v1.19,0,0,0,7,0,21,4,27,1,0,29,0,0,0,0,0,0,0
v1.20,0,0,0,8,0,17,1,11,0,0,35,1,0,0,0,0,0,0
v1.20.1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
v1.21,0,0,0,1,0,21,3,22,0,0,5,1,0,0,0,0,0,0
v1.22,0,0,1,8,0,6,4,27,1,0,11,2,0,0,0,0,0,0
v1.23,0,0,1,8,0,19,5,6,0,0,8,2,0,0,0,0,0,0
v1.24,0,0,0,5,0,2,4,15,0,0,3,10,1,0,0,0,0,0
v1.24.2,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
v1.25,0,0,0,11,0,11,1,14,0,0,25,2,0,0,0,0,0,0
v1.26,0,0,0,6,0,7,1,9,0,0,12,1,0,0,0,0,0,0
v1.26.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
v1.27,0,0,0,2,0,2,4,3,0,0,4,0,0,0,0,0,0,0
v1.27.0,0,0,0,0,0,5,0,13,0,0,1,0,0,0,0,0,0,0
v1.28,0,0,0,6,1,16,1,7,0,0,6,4,0,0,0,0,0,0
v1.29,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
v1.30,0,0,0,6,0,1,6,2,0,0,6,1,0,0,0,0,0,0
v1.31,0,0,0,0,0,5,0,2,0,0,5,1,0,0,0,0,0,0
v1.32,0,0,0,2,0,4,0,1,0,0,4,2,0,0,0,0,0,0
v1.33,0,0,0,4,0,8,4,18,0,0,12,2,0,1,0,0,0,0
v1.34,0,0,0,0,0,8,0,22,0,0,8,2,2,0,0,0,0,0
v1.35,0,0,0,4,0,16,1,16,1,1,3,1,0,0,0,0,0,0
v1.36,0,0,0,1,0,6,1,8,1,0,3,2,1,0,0,0,0,0
v1.37,0,0,0,0,0,2,0,7,0,0,3,0,2,0,0,0,0,0
v1.38,0,0,0,1,0,2,0,5,0,0,1,1,0,0,0,0,0,0
v1.39,0,0,0,0,0,0,2,7,0,0,0,1,0,0,1,0,0,0
v1.39.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
v1.40,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,5,0,1
v1.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
v1.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
